RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
"Hagerstown, WV",Msa,MD,201209,202846,204269,205013,205294,205595,206179,207967,210417,213832,216807,219648
"Bremerton, WA",Msa,WA,394471,397030,401053,405474,407550,410148,412812,419026,425625,434041,440991,448184
"Laredo, TX",Msa,TX,161891,161359,161231,160611,160298,160135,160842,161408,161280,158466,158140,158991
"Lynchburg, VA",Msa,VA,184904,185502,185896,186499,187602,189092,190674,192379,194195,196266,198027,199675
"Yakima, WA",Msa,WA,240969,243632,246537,249194,251619,251592,251626,252424,255878,259560,262497,265096
"Crestview-Fort Walton Beach-Destin, FL",Msa,FL,284696,286972,289179,291560,292491,293433,294639,296933,299932,303293,307207,311188
"Topeka, KS",Msa,KS,133137,133443,133866,134459,135459,136409,137623,138815,140038,141390,142868,144136
"Macon-Bibb County, GA",Msa,GA,110194,110537,110935,111635,112278,112689,113076,113286,113897,114654,116046,117499
"Champaign-Urbana, IL",Msa,IL,146118,146468,146455,146983,147490,148095,148434,149586,150631,151587,151978,152588
"Tuscaloosa, AL",Msa,AL,168800,168834,169120,169104,169489,170242,171380,172374,172987,173819,175117,176664
"College Station, TX",Msa,TX,,211816,212252,212764,213722,214963,216371,217512,219023,220838,222984,224654
"Sioux Falls, SD",Msa,SD,228238,229460,230446,231385,231541,231795,232373,233573,235024,236891,239214,241537
"Charleston, WV",Msa,WV,99307,99305,99337,99650,100179,100668,101029,101209,101401,101362,101350,101039
"Appleton, WI",Msa,WI,195128,196562,197538,197959,198412,198559,199735,201251,203742,205797,208313,210448
"Chico, CA",Msa,CA,340283,336041,333481,332327,331276,329743,331730,335235,340426,344419,347683,350775
"Charlottesville, VA",Msa,VA,315495,315974,316010,316069,316602,317863,318780,319586,320489,322115,324366,326825
"Claremont, NH",Msa,NH,225764,226283,226819,227224,227842,228324,229705,231613,233775,236498,239823,243258
"Barnstable Town, MA",Msa,MA,440164,443710,448011,449178,449550,449063,450697,456222,463946,472632,480867,489756
"Longview, TX",Msa,TX,164776,162748,160277,157253,155529,154214,153945,151781,148838,145924,144832,145081
"Burlington, VT",Msa,VT,314740,315167,317020,317572,320167,321364,323919,324766,325599,327329,330060,332999
"Prescott, AZ",Msa,AZ,317344,320691,324218,326028,327604,327921,329885,331743,336677,343198,351400,360079
"Springfield, IL",Msa,IL,136992,137157,137327,137359,137390,137508,137748,138064,138563,139410,140390,141373
"Tyler, TX",Msa,TX,180802,182146,182986,183920,184632,185517,186361,187917,189967,192124,193796,194706
"Las Cruces, NM",Msa,NM,179767,179558,181060,182280,182995,183447,184407,186449,188973,191983,195317,197719
"Fargo, ND",Msa,ND,232762,232652,232360,232487,232890,233435,234204,235007,235979,236584,236979,237887
"Houma, LA",Msa,LA,,173070,172096,171780,167584,164236,161076,161153,161340,160818,160360,159724
"Rochester, MN",Msa,MN,241409,241878,242171,242763,244649,246533,248009,248914,249909,251091,253178,256341
"Florence, SC",Msa,SC,124726,125240,125523,125952,126301,126716,127158,127434,128047,128680,129760,130789
"Medford, OR",Msa,OR,321309,322728,323963,326091,328477,330158,332855,335522,338852,342233,346499,351187
"Lafayette-West Lafayette, IN",Msa,IN,171906,173177,174290,175378,176240,177415,178299,179150,180118,181575,183178,185044
"Bellingham, WA",Msa,WA,427345,429451,431294,433580,435517,434622,435218,439984,446362,455162,461992,470875
"Lake Havasu City, AZ",Msa,AZ,237452,240785,242902,244458,244972,245899,247447,250156,254403,259139,263956,268828
"Saginaw, MI",Msa,MI,100960,101004,101854,102730,103961,104584,105481,106294,107793,109330,110808,112555
"Lake Charles, LA",Msa,LA,197354,197700,197808,197001,195379,194605,195022,197402,197568,196571,194183,193308
"Johnson City, TN",Msa,TN,153577,154474,155248,156081,156760,157234,157819,158220,158973,159298,160650,162091
"Elkhart, IN",Msa,IN,167138,167939,169560,171245,172281,173190,174112,175004,176346,178060,179945,182226
"Yuma, AZ",Msa,AZ,168476,169484,168514,168386,169113,171414,172470,174636,176806,179683,183111,187227
"Racine, WI",Msa,WI,167147,167330,167875,167986,168287,168727,169857,171281,172632,173638,175663,178082
"Athens, GA",Msa,GA,216134,218428,219614,220727,221641,222990,224154,225726,227652,229579,231238,232300
"Torrington, CT",Msa,CT,246718,246458,246731,248197,249960,251703,254128,257642,262382,267491,272774,277223
"St. Cloud, MN",Msa,MN,217198,216220,217046,218059,220694,222555,224612,227044,228576,230281,231986,234012
"Hilton Head Island, SC",Msa,SC,319319,321138,322846,323782,324026,324079,325097,326212,328953,331664,335006,337572
"Bloomington, IL",Msa,IL,154303,154649,154983,155202,155280,155451,155873,156640,157651,158669,159604,160483
"Hilo, HI",Msa,HI,385878,387375,389463,393053,396511,399684,400845,401289,401257,402571,405216,409264
"Panama City, FL",Msa,FL,233453,236854,240136,240848,240699,240136,240217,240836,241893,243563,245194,246808
"Kingston, NY",Msa,NY,242784,243203,243255,243319,243492,244519,246890,251737,260801,270156,278879,284885
"Daphne, AL",Msa,AL,225591,227054,228410,230104,231999,233443,234075,235327,237469,240510,243336,245696
"Gainesville, GA",Msa,GA,238901,240546,241924,242986,243875,244939,246004,247796,250265,253136,255804,259008
"Warner Robins, GA",Msa,GA,147834,148316,148712,149480,150156,150936,151681,152602,153516,154525,155546,156525
"Blacksburg, VA",Msa,VA,196696,196958,197295,197721,198432,199275,200254,201016,201877,203130,205293,207395
"Jacksonville, NC",Msa,NC,174766,174971,175493,175248,175233,174784,175441,176275,177713,178930,180503,181849
"Redding, CA",Msa,CA,283547,283361,282410,284361,286058,286614,287612,290166,295048,300484,304961,309656
"Monroe, LA",Msa,LA,137540,137978,138268,138404,138187,138112,138506,139414,140430,141227,142342,143182
"Joplin, MO",Msa,MO,,,135580,136786,136616,137106,137998,138432,139052,139576,140990,142633
"El Centro, CA",Msa,CA,221847,223211,224143,223676,223057,223700,226898,232191,238061,242982,246785,248223
"Terre Haute, IN",Msa,IN,98025,98150,98292,98427,98654,98871,99097,99375,99707,100186,101198,102155
"Muskegon, MI",Msa,MI,146328,148110,149791,151066,152229,153140,154450,155488,156775,158388,160060,161677
"East Stroudsburg, PA",Msa,PA,175069,175877,176762,177635,178122,178532,180202,182867,,190613,194712,199111
"Sioux City, IA",Msa,IA,143834,144273,144532,144671,144637,144845,145151,145306,145927,145630,146060,145944
"Greenville, NC",Msa,NC,145833,146425,147122,147856,148661,149468,150569,151790,153103,154507,155996,157511
"Waterloo, IA",Msa,IA,143636,143652,143794,143955,144354,144689,145014,145209,145560,146048,146953,147851
"Oshkosh, WI",Msa,WI,158621,159044,159629,159376,159301,159284,160492,162549,164420,166283,168152,169940
"Yuba City, CA",Msa,CA,308966,308999,311121,313440,316620,317735,317843,318611,321505,327177,333216,338723
"Abilene, TX",Msa,TX,135949,136575,137344,138113,138832,139644,140635,141813,143175,144600,145952,146965
"Columbia, MO",Msa,MO,200338,200967,201950,203024,203833,204300,204935,206006,207411,208742,209947,212098
"Dover, DE",Msa,DE,231888,233533,234790,235866,236706,237857,238953,240421,242419,244934,247540,249891
"Eau Claire, WI",Msa,WI,192229,193907,195740,197305,198587,199991,201661,203454,205317,206826,208611,210269
"Janesville, WI",Msa,WI,153106,154121,155359,156649,157318,157887,158979,160645,162590,165112,166820,168889
"Jackson, MI",Msa,MI,150607,152082,153815,155135,156027,157144,158025,158161,158137,158913,160861,163439
"Punta Gorda, FL",Msa,FL,227494,226384,226764,227879,230308,232621,235087,236902,238514,241085,244049,247867
