RegionName,RegionType,StateName,1/31/2022,2/28/2022,3/31/2022
"Sherman, TX",Msa,TX,249063,255289,261896
"Anniston, AL",Msa,AL,137249,140168,143127
"Staunton, VA",Msa,VA,244537,248132,249495
"Muncie, IN",Msa,IN,128587,130469,133298
"Mount Vernon, WA",Msa,WA,560683,570360,573892
"Albany, OR",Msa,OR,383967,390266,396111
"Watertown, NY",Msa,NY,168921,170338,172383
"Williamsport, PA",Msa,PA,195247,197206,198628
"Cleveland, TN",Msa,TN,231870,239184,243191
"Sheboygan, WI",Msa,WI,195769,198458,201539
"Bismarck, ND",Msa,ND,306027,308552,311102
"Owensboro, KY",Msa,KY,167679,170653,171216
"Dunn, NC",Msa,NC,231908,236621,241116
"Wooster, OH",Msa,OH,,,
"Morristown, TN",Msa,TN,199737,204220,211690
"Kankakee, IL",Msa,IL,177475,179567,181381
"Brunswick, GA",Msa,GA,248058,254362,261318
"Ogdensburg, NY",Msa,NY,107625,108241,108856
"San Angelo, TX",Msa,TX,190198,191257,192033
"Michigan City, IN",Msa,IN,199831,202408,206455
"Holland, MI",Msa,MI,270924,276099,280937
"Wenatchee, WA",Msa,WA,505486,515478,522205
"Lawrence, KS",Msa,KS,275388,276199,276794
"Decatur, IL",Msa,IL,106856,108337,109594
"Missoula, MT",Msa,MT,549126,563698,573922
"Salem, OH",Msa,OH,126246,127280,128218
"Bay City, MI",Msa,MI,143999,145492,147104
"Lewiston, ME",Msa,ME,267283,273689,278893
"Roseburg, OR",Msa,OR,307514,311498,316240
"Sumter, SC",Msa,SC,160103,162113,164821
"Meridian, MS",Msa,MS,103456,105468,106210
"Show Low, AZ",Msa,AZ,352019,359048,367006
"Bluefield, WV",Msa,WV,93282,95205,95811
"Danville, VA",Msa,VA,149613,151792,152567
"Lima, OH",Msa,OH,155021,156427,158175
"Cookeville, TN",Msa,TN,224669,229711,231057
"California-Lexington Park, MD",Msa,MD,372162,374298,377174
"Gadsden, AL",Msa,AL,122983,126448,127921
"Cumberland, MD",Msa,MD,119765,120894,122524
"Longview, WA",Msa,WA,391326,397618,402690
"Whitewater, WI",Msa,WI,296481,301641,307230
"Fond du Lac, WI",Msa,WI,184453,186464,187975
"Ithaca, NY",Msa,NY,264159,271176,275980
"Ashtabula, OH",Msa,OH,141007,142627,144205
"Gettysburg, PA",Msa,PA,262960,265523,267724
"Pine Bluff, AR",Msa,AR,77591,79804,80863
"Tullahoma, TN",Msa,TN,215410,221754,228266
"Richmond, KY",Msa,KY,212143,214299,216312
"Adrian, MI",Msa,MI,208334,210930,213949
"Twin Falls, ID",Msa,ID,360455,366896,373025
"Corning, NY",Msa,NY,131406,129099,129566
"Sebring, FL",Msa,FL,203869,207547,211719
"Truckee, CA",Msa,CA,655089,664296,668027
"Paducah, KY",Msa,KY,134475,136752,139042
"Grand Forks, ND",Msa,ND,236727,238964,240618
"Shelby, NC",Msa,NC,192297,195140,197544
"Fairbanks, AK",Msa,AK,227972,228443,226259
"Ocean City, NJ",Msa,NJ,585779,597002,606687
"Mankato, MN",Msa,MN,255744,259012,261276
"Rome, GA",Msa,GA,178921,183544,186134
"Cape Girardeau, MO",Msa,MO,196523,198341,200818
"Hot Springs, AR",Msa,AR,215061,218033,220602
"Greenwood, SC",Msa,SC,148984,151294,152518
"Sunbury, PA",Msa,PA,133945,136201,136652
"Clarksburg, WV",Msa,WV,118334,120964,121949
"Talladega, AL",Msa,AL,132279,135800,137298
"Dubuque, IA",Msa,IA,222030,222175,225262
"The Villages, FL",Msa,FL,356622,369165,380382
"Albertville, AL",Msa,AL,177932,181530,185886
"Manhattan, KS",Msa,KS,236018,237128,237013
"Parkersburg, WV",Msa,WV,136076,137405,137977
"New Philadelphia, OH",Msa,OH,163904,166003,167435
"Orangeburg, SC",Msa,SC,111358,114334,115853
"Cheyenne, WY",Msa,WY,349051,353080,356263
"New Castle, PA",Msa,PA,137231,138580,141185
"Brainerd, MN",Msa,MN,275209,279524,284887
"Kalispell, MT",Msa,MT,637132,659377,678107
"Sevierville, TN",Msa,TN,404178,417346,423957
"Ames, IA",Msa,IA,240640,243332,245138
"Bozeman, MT",Msa,MT,680776,687075,686169
"Moses Lake, WA",Msa,WA,326467,331436,332650
"Indiana, PA",Msa,PA,148411,150379,150381
"Elmira, NY",Msa,NY,129681,131775,132949
"Meadville, PA",Msa,PA,128013,129681,129640
"Beaver Dam, WI",Msa,WI,215332,217236,219306
"Pinehurst-Southern Pines, NC",Msa,NC,347793,356594,365250
"Ukiah, CA",Msa,CA,527480,526290,521950
"Hermiston-Pendleton, OR",Msa,OR,277489,282070,284892
"Lufkin, TX",Msa,TX,151612,155165,156491
"Zanesville, OH",Msa,OH,162693,164610,166996
"Corvallis, OR",Msa,OR,492037,496747,501622
"Bloomsburg, PA",Msa,PA,202896,205720,205868
"Laurel, MS",Msa,MS,121820,124492,125748
"Russellville, AR",Msa,AR,143852,143861,147283
"Branson, MO",Msa,MO,216414,217159,220658
"Watertown, WI",Msa,WI,277906,281853,284536
"Midland, MI",Msa,MI,201482,203801,205368
"Opelousas, LA",Msa,LA,137705,139588,140388
"Pocatello, ID",Msa,ID,306485,308287,313724
"Kokomo, IN",Msa,IN,150049,152326,154198
"Grants Pass, OR",Msa,OR,413773,416479,416750
"Huntsville, TX",Msa,TX,217522,223367,225296
"Plattsburgh, NY",Msa,NY,170928,173594,176511
"Grand Island, NE",Msa,NE,195765,198533,199016
"DuBois, PA",Msa,PA,123137,124838,125331
"Danville, IL",Msa,IL,78464,79477,80006
"Manitowoc, WI",Msa,WI,170974,173494,175518
"Great Falls, MT",Msa,MT,269245,274299,280793
"Wilson, NC",Msa,NC,161917,165006,167298
"Cullman, AL",Msa,AL,184376,,195589
"Olean, NY",Msa,NY,108110,112566,116145
"Auburn, NY",Msa,NY,167489,169454,170813
"Portsmouth, OH",Msa,OH,102125,103622,104101
"Athens, TX",Msa,TX,250227,254263,258818
"Oak Harbor, WA",Msa,WA,609437,619783,627562
"Chillicothe, OH",Msa,OH,158527,160777,161393
